id,product_tmpl_id/id,attribute_id/id,value_ids/id
ptal_fp_sua_chua_lac_dau_ngot,zed_custom.pt_fp_sua_chua_lac_dau,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_sua_chua_lac_dau_tra,zed_custom.pt_fp_sua_chua_lac_dau,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_sua_chua_lac_dau_da,zed_custom.pt_fp_sua_chua_lac_dau,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_chanh_nhua_ngot,zed_custom.pt_fp_tra_chanh_nhua,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_chanh_nhua_tra,zed_custom.pt_fp_tra_chanh_nhua,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_chanh_nhua_da,zed_custom.pt_fp_tra_chanh_nhua,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_chanh_size_l_ngot,zed_custom.pt_fp_tra_chanh_size_l,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_chanh_size_l_tra,zed_custom.pt_fp_tra_chanh_size_l,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_chanh_size_l_da,zed_custom.pt_fp_tra_chanh_size_l,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_kim_quat_nha_dam_ngot,zed_custom.pt_fp_kim_quat_nha_dam,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_kim_quat_nha_dam_tra,zed_custom.pt_fp_kim_quat_nha_dam,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_kim_quat_nha_dam_da,zed_custom.pt_fp_kim_quat_nha_dam,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_chanh_tuoi_da_ngot,zed_custom.pt_fp_chanh_tuoi_da,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_chanh_tuoi_da_tra,zed_custom.pt_fp_chanh_tuoi_da,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_chanh_tuoi_da_da,zed_custom.pt_fp_chanh_tuoi_da,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_chanh_day_lac_sua_ngot,zed_custom.pt_fp_chanh_day_lac_sua,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_chanh_day_lac_sua_tra,zed_custom.pt_fp_chanh_day_lac_sua,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
